asin,product_title,category,sub_category,date,units_sold,selling_price,unit_cost,fba_fees,revenue,profit_margin_pct,bsr_rank,stock_level,profit_per_unit,calc_revenue
B0BT7WG7WP,"NaturaCare Natural Sunscreen Spf 50-50G With Aqua, Avocado Oil, Glycerin, Triethanolamine, Edta, Cetyl, Titanium Dioxide, Zinc Oxide|Maximum Protection With Natural Ingredients|For All Skin Types",Body Lotion,Sunscreen Spf 50,2026-02-22,1,546.63,0.0,17.97,546.63,96.71258438065968,0,0,528.66,546.63
B09L1QFQV1,NaturaCare Naturals Almond Scrub 40 g | Almond Face Scrub – Exfoliating & Nourishing – Natural Glow,skin glow and tan,Facial Scrubs & Polishes,2026-02-22,1,335.65,0.0,9.17,335.65,97.26798748696558,0,0,326.47999999999996,335.65
B0CJMF3TPN,NaturaCare Naturals Slim & Strength Weight Loss Powder 500g | Natural Weight Management & Energy Boost Formula | Supports Metabolism & Enhances Muscle Tone | Sugar-Free & Plant-Based,Weight Management,Weight Loss,2026-02-22,37,698.7,0.0,45.76,20961.0,93.45069414627164,0,0,652.94,25851.9
B0CKBKJC3D,"NaturaCare NAturals Goat Milk Shampoo | Nourishing & Moisturizing Shampoo for Soft, Shiny Hair | Enriched with Natural Proteins & Vitamins | Suitable for All Hair Types""",Hair Shampoos,Goat Milk Shampoo,2026-02-22,2,472.65,0.0,21.02,945.3,95.5527345816143,0,0,451.63,945.3
B0CTDZ8GQH,"NaturaCare Naturals Hibiscus Shampoo - 200 ml with Hibiscus, Lavender buds, Neem leaves || Shampoo - Nourish and Strengthen Hair ||",Hair Shampoos,Hisbiscus Shampoos,2026-02-22,5,383.6,0.0,8.11,1534.4,97.88581856100103,0,0,375.49,1918.0
B0BTPLBWBQ,NaturaCare Natural Saffron Moisturizing Cream All Natural Nourishment|-50g,skin glow and tan,Moisturizers,2026-02-22,1,479.5,0.0,12.22,479.5,97.45151199165797,0,0,467.28,479.5
B0CV191CD6,"NaturaCare Naturals Vitamin C Glow Serum|| Softening, Hydrating, Brightens & Evens Skin Tone |",Hair Care,Vitamin C Glow Serum,2026-02-22,1,685.0,0.0,21.74,685.0,96.82627737226277,0,0,663.26,685.0
B0DR346PWR,"NATURACARE NATURALS 32 Herbs Hair growth Oil | Natural Oil Blend for Stronger, Thicker Hair | Promotes Hair Growth & Reduces Hair Fall | Enriched with Ayurvedic Herbs""",Hair Care,32 Herbs Hair Growth Oil,2026-02-23,1,548.0,0.0,15.32,548.0,97.20437956204378,0,0,532.68,548.0
B0GDQW22JN,NaturaCare Naturals Choco Malt 250g | Multi Grain Instant Health Drink Mix with Natural Cocoa | Energy & Nutrition Booster,Milk Mixtures,Choco Malt,2026-02-23,6,548.0,0.0,17.78,2740.0,96.75547445255475,0,0,530.22,3288.0
B0GDQPQ8VK,NaturaCare Naturals Paruthi Paal Powder 250g | Traditional Cotton Seed Health Mix | Natural Energy Drink Mix,Milk Mixtures,Paruthi Paal Powder,2026-02-23,2,548.0,0.0,17.78,1096.0,96.75547445255475,0,0,530.22,1096.0
